instance,n_loans,milp_cost,solve_time,gap,status,avalanche_cost,avalanche_valid,avalanche_feasible,avalanche_final_balance,avalanche_horizon_spend_advantage,avalanche_savings,snowball_cost,snowball_valid,snowball_feasible,snowball_final_balance,snowball_horizon_spend_advantage,snowball_savings
Deudas_4_0_0_0_4_120_fijo_fijo_0,4,506873.2783298451,1.9743926525115967,0.0,OPTIMAL,506873.2783298439,True,True,0.0,-2.4115709615044526e-13,-2.4115709615044526e-13,602688.6522264213,True,True,2.2160851267316227e-07,15.897988711521274,15.897988711521274
Deudas_4_0_0_0_4_120_fijo_fijo_2,4,780825.837119589,2.9407100677490234,0.0,OPTIMAL,780825.8371195891,True,True,0.0,1.4909255853569425e-14,1.4909255853569425e-14,780825.8371195891,True,True,0.0,1.4909255853569425e-14,1.4909255853569425e-14
Deudas_4_0_0_0_4_120_fijo_fijo_1,4,725281.0994541871,3.0982906818389893,0.0,OPTIMAL,727616.4985159556,True,True,0.0,0.32096565519498543,0.32096565519498543,729240.209024918,True,True,0.0,0.5429088415221576,0.5429088415221576
Deudas_4_0_0_0_4_120_fijo_fijo_3,4,782895.0615183031,4.060378313064575,0.0,OPTIMAL,803595.4265867777,True,True,0.0,2.575968501513017,2.575968501513017,1404108.0346049254,True,False,2358361.16657517,44.242533891732435,
Deudas_4_0_0_0_4_120_fijo_fijo_4,4,1242509.7608432958,2.437554121017456,0.0,OPTIMAL,1243544.6477389382,True,True,0.0,0.0832207269376339,0.0832207269376339,1243544.6477389382,True,True,0.0,0.0832207269376339,0.0832207269376339
Deudas_4_0_0_0_4_120_fijo_fijo_5,4,586139.0631571145,2.7585721015930176,0.0,OPTIMAL,590861.2005304121,True,True,0.0,0.7991957111176975,0.7991957111176975,592380.2417167084,True,True,0.0,1.0535764227225104,1.0535764227225104
Deudas_4_0_0_0_4_120_fijo_fijo_7,4,801558.7534623722,2.142343521118164,0.0,OPTIMAL,801558.7534623725,True,True,0.0,2.9047233611777825e-14,2.9047233611777825e-14,801558.7534623725,True,True,0.0,2.9047233611777825e-14,2.9047233611777825e-14
Deudas_4_0_0_0_4_120_fijo_fijo_6,4,1506751.8761302326,3.4287545680999756,0.0,OPTIMAL,1506751.8761314382,True,True,0.0,8.001297970406969e-11,8.001297970406969e-11,1506751.8761314382,True,True,0.0,8.001297970406969e-11,8.001297970406969e-11
Deudas_4_0_0_0_4_120_fijo_fijo_8,4,1176676.4169856913,2.054394483566284,0.0,OPTIMAL,1234983.3794650156,True,True,0.0,4.721275075344123,4.721275075344123,1236067.339783542,True,True,0.0,4.8048290644303595,4.8048290644303595
Deudas_4_0_0_2_2_120_fijo_fijo_2,4,873030.3828530735,0.746375322341919,0.0,OPTIMAL,1117269.6528496167,True,True,0.0,21.860369103699046,21.860369103699046,1117269.6528496167,True,True,0.0,21.860369103699046,21.860369103699046
Deudas_4_0_0_2_2_120_fijo_fijo_0,4,866965.6915731824,1.2087020874023438,0.0,OPTIMAL,948013.4822012479,True,True,0.0,8.549223418202448,8.549223418202448,948516.0028329246,True,True,0.0,8.597673736255016,8.597673736255016
Deudas_4_0_0_2_2_120_fijo_fijo_1,4,1286021.7445429773,1.061821699142456,0.0,OPTIMAL,1314211.931958205,True,True,0.0,2.1450259832311636,2.1450259832311636,1326785.049372151,True,True,0.0,3.072336762346196,3.072336762346196
Deudas_4_0_0_0_4_120_fijo_fijo_9,4,1154715.0689579854,2.4466326236724854,0.0,OPTIMAL,1154715.0689579854,True,True,0.0,0.0,0.0,1154715.0689579854,True,True,0.0,0.0,0.0
Deudas_4_0_0_2_2_120_fijo_fijo_4,4,754002.051254009,0.6690599918365479,0.0,OPTIMAL,766278.4648738556,True,True,0.0,1.6020825564851948,1.6020825564851948,797675.2523730702,True,True,0.0,5.475060306701779,5.475060306701779
Deudas_4_0_0_2_2_120_fijo_fijo_3,4,612960.1367817975,0.760922908782959,0.0,OPTIMAL,629975.8420843373,True,True,0.0,2.701009176199774,2.701009176199774,673118.5873653605,True,True,0.0,8.937273715620883,8.937273715620883
Deudas_4_0_0_2_2_120_fijo_fijo_5,4,943786.9529705995,0.7196896076202393,0.0,OPTIMAL,943786.9529706005,True,True,0.0,9.867932287939668e-14,9.867932287939668e-14,943786.9529706005,True,True,0.0,9.867932287939668e-14,9.867932287939668e-14
Deudas_4_0_0_2_2_120_fijo_fijo_6,4,952259.9679947913,0.698089599609375,0.0,OPTIMAL,952259.9679947924,True,True,0.0,1.1002645618387929e-13,1.1002645618387929e-13,952259.9679947924,True,True,0.0,1.1002645618387929e-13,1.1002645618387929e-13
Deudas_4_0_0_2_2_120_fijo_fijo_9,4,967867.7222501899,0.6190502643585205,0.0,OPTIMAL,974465.7835519151,True,True,0.0,0.6770952262351758,0.6770952262351758,993944.2184824182,True,True,0.0,2.6235371912563337,2.6235371912563337
Deudas_4_0_0_4_0_120_fijo_fijo_0,4,586582.3777427139,0.1080160140991211,0.0,OPTIMAL,599135.8345316175,True,True,0.0,2.0952605511765796,2.0952605511765796,611775.7032657476,True,True,0.0,4.118065720581597,4.118065720581597
Deudas_4_0_0_2_2_120_fijo_fijo_7,4,1097788.1632492188,0.8818173408508301,0.0,OPTIMAL,1144801.63118091,True,True,0.0,4.106691207558358,4.106691207558358,1140314.1746989996,True,True,0.0,3.729324110261636,3.729324110261636
Deudas_4_0_0_4_0_120_fijo_fijo_1,4,1191492.6244153327,0.1038045883178711,0.0,OPTIMAL,1191492.624415333,True,True,0.0,1.9541089796348502e-14,1.9541089796348502e-14,1211302.0631262066,True,True,0.0,1.6353838826748524,1.6353838826748524
Deudas_4_0_0_4_0_120_fijo_fijo_2,4,1143338.1032896554,0.10927033424377441,0.0,OPTIMAL,1158608.7141739894,True,True,0.0,1.3180127766621268,1.3180127766621268,1194204.9216898433,True,True,0.0,4.259471509145138,4.259471509145138
Deudas_4_0_0_4_0_120_fijo_fijo_3,4,308866.18619606696,0.12745404243469238,0.0,OPTIMAL,317252.80234491586,True,True,8.589150317799114e-15,2.6435120783365087,2.6435120783365087,327598.8416626482,True,True,0.0,5.718169017786569,5.718169017786569
Deudas_4_0_0_2_2_120_fijo_fijo_8,4,829412.380715413,1.1395304203033447,0.0,OPTIMAL,850167.4168822719,True,True,0.0,2.4412881221644067,2.4412881221644067,909217.860626389,True,True,0.0,8.777377058562784,8.777377058562784
Deudas_4_0_0_4_0_120_fijo_fijo_5,4,1168713.7328195998,0.08667325973510742,0.0,OPTIMAL,1202854.1613742511,True,True,0.0,2.8382849435085435,2.8382849435085435,1202283.4292230075,True,True,0.0,2.792161614096487,2.792161614096487
Deudas_4_0_0_4_0_120_fijo_fijo_4,4,1255923.341991637,0.11171293258666992,0.0,OPTIMAL,1255923.341991637,True,True,5.226559337952478e-11,0.0,0.0,1261141.8969373424,True,True,0.0,0.41379601759156637,0.41379601759156637
Deudas_4_0_0_4_0_120_fijo_fijo_6,4,1375358.2766994142,0.12109804153442383,0.0,OPTIMAL,1376192.6897017402,True,True,0.0,0.060631989151661694,0.060631989151661694,1384229.1930460082,True,True,0.0,0.6408560367863262,0.6408560367863262
Deudas_4_0_0_4_0_120_fijo_fijo_7,4,1774647.2959530342,0.1305217742919922,0.0,OPTIMAL,1785638.5685758146,True,True,0.0,0.6155373666433965,0.6155373666433965,1787814.6682487172,True,True,0.0,0.7365065590708756,0.7365065590708756
Deudas_4_0_0_4_0_120_fijo_fijo_8,4,677956.9775828428,0.08541631698608398,0.0,OPTIMAL,678043.0023376495,True,True,0.0,0.012687212243186934,0.012687212243186934,679133.481677476,True,True,0.0,0.17323606130081587,0.17323606130081587
Deudas_4_0_0_4_0_120_fijo_fijo_9,4,320522.21494640637,0.08596920967102051,0.0,OPTIMAL,329707.4007823203,True,True,0.0,2.785859769638044,2.785859769638044,333224.9730806533,True,True,0.0,3.812066669796793,3.812066669796793
